model_type,alpha,degree,train_rmse,val_rmse,train_r2,val_r2,train_mae,val_mae
linear,0.0,1,21.593066265478566,20.515798635714336,0.9231138645141778,0.9312924571501903,12.393106132009036,11.225423140760833
ridge,0.1,1,21.59306637477347,20.51570445986478,0.923113863735848,0.9312930879398059,12.393195412276137,11.225491640477303
ridge,1.0,1,21.59307710631348,20.514871393513292,0.9231137873125335,0.9312986676901445,12.394000311124143,11.226105758015027
ridge,10.0,1,21.594068431478888,20.507871451153918,0.9231067275510437,0.9313455432772597,12.402507780335728,11.232363106776072
ridge,1.0,2,18.351572102182487,18.18411334936674,0.9444651061296832,0.9460226173914275,10.820871312114146,10.407195404682291
lasso,0.1,1,21.62479117386688,20.49047378951391,0.9228877736536905,0.9314619786050774,12.372819183297661,11.148760058614448
lasso,1.0,1,22.523566626031617,21.451670653075503,0.9163446496146366,0.9248809990984601,12.842007557089707,11.534667157152697
