split,rmse,r2,mae,n_samples
Train,18.351572102182487,0.9444651061296832,10.820871312114146,25353
Validation,18.18411334936674,0.9460226173914275,10.407195404682291,6494
Test,17.38492804899546,0.947145638300848,10.177533772059308,6662
Train_peak,19.85548865482689,0.9452583621400644,12.387469140212966,6820
Val_peak,16.230265537735477,0.9599320247896667,10.295913768210806,1690
Test_peak,17.594560099170153,0.9558979872376415,11.430884740157559,1838
Test_low_demand,5.191970384471648,-9.261875917122559,3.9551458178516663,2250
Test_medium_demand,10.760208990122491,0.8706633378548319,7.518636331655788,2264
Test_high_demand,28.055474007427037,0.9156023417985439,19.49788605420119,2148
