zone_id,total_pickups,rmse,mae,r2,n_samples
161,18932,48.9174821418959,32.45431111890938,0.9226710642748138,85
237,18002,33.36151105184566,25.148844847899298,0.9459047063434914,87
236,17326,33.8024225446952,24.370752432551967,0.9441344657017602,85
132,15365,38.75848780924273,30.21585452016055,0.8641540140491433,87
162,13825,27.945816301922545,19.874358855045863,0.9386630241474097,87
186,12436,39.755561968941834,28.547534429543305,0.713299808938767,87
230,12055,33.54322507807834,20.949113881304367,0.8851309712980852,87
138,11578,40.43077509240993,32.212238043717896,0.7382809736932125,81
163,11201,26.088381172852277,18.03708931739017,0.9155087539897712,87
142,11194,40.1938808813673,24.891654496430675,0.7754436873146183,85
170,9900,18.618093050627678,14.166197238968481,0.940387741100362,86
239,9472,20.72081254122491,14.956033144654121,0.9104917368026275,85
234,9092,22.184501170336866,15.393896910497075,0.9175032209540425,86
68,8989,23.525355872862622,17.42038973739476,0.8570557392323445,87
141,8600,16.231418356704868,12.244806352223078,0.9227266653450326,86
