demand_level,rmse,mae,r2,n_samples,mean_actual,mean_predicted,std_actual,std_predicted
Low Demand,1.4461532084132913,0.9725636722302483,0.2038572275997096,2250,2.085777777777778,2.3484781997640645,1.621120726369858,1.2625250228339204
Medium Demand,9.33919840735999,6.26015379952519,0.9025684886098889,2264,30.742049469964666,31.936818126064143,29.926492333541347,28.549381490158048
High Demand,27.059479697248822,17.99915522765011,0.9214883583553625,2148,118.32635009310987,120.69689990298352,96.59475132964678,91.38620833143246
