split,n_samples,rmse,mae,r2,mean_actual,std_actual,mean_predicted,std_predicted,acc_within_5,acc_within_10,acc_within_15,acc_within_10pct,acc_within_20pct,acc_within_30pct,mape
Training,25353,6.525493260989209,3.523275908259733,0.9929782382686246,57.35419871415611,77.87514465222544,57.432010025326065,76.26780074209827,78.66919102275864,91.23180688675896,95.92158718889283,62.75391472409577,84.99980278468031,92.30465822585099,12.098139122118079
Test,6662,16.322753334831763,8.259297792500078,0.953406871449722,49.303212248574,75.62494621025915,50.562289579478694,73.88640381447779,61.81326928850195,75.2626838787151,83.06814770339237,26.23836685679976,49.89492644851396,66.34644250975683,33.20579462869583
