demand_range,rmse,mae,mape,n_samples,mean_actual,mean_predicted
0-10,3.0116128788182954,1.6708103693361676,46.072908535854154,3221,2.8609127600124187,3.9353130939466374
10-25,10.009972452333907,6.190380166308501,35.647189359735414,714,17.18767507002801,20.98835605719597
25-50,12.409006113917233,8.734889405882043,23.591987037536562,685,36.505109489051094,39.7028804615852
50-100,20.126641731973557,13.39582916079062,18.320314562588525,850,73.9964705882353,79.66240935388936
100-200,25.256732011063104,19.01098032480799,13.660367388874356,835,140.8874251497006,142.05092453464107
200+,44.01962838651431,33.55128194493995,11.834417229443742,357,284.109243697479,267.96246617543363
