day_of_week,day_name,rmse,mae,r2,n_samples,mean_actual,mean_predicted
0,Monday,14.165256514818305,7.427277127318092,0.9564343532842889,1812,43.10816777041943,44.49131950423179
1,Tuesday,17.405438999553088,8.327123485975138,0.9552341659556578,1809,51.81647318960752,51.10995606709211
2,Wednesday,15.467265296685708,7.5408217009827565,0.9618583626816386,1871,50.455371459112776,52.26899773314684
6,Sunday,18.850275577329814,10.59194183783537,0.9266868372883194,1170,53.16923076923077,56.38845893395866
