period,rmse,mae,r2,n_samples,mean_actual,mean_predicted
Peak Hours,16.098086842399322,8.820547308792325,0.9630809840824542,1838,59.39281828073994,59.404180050285056
Off-Peak Hours,16.407544542399737,8.04545521145838,0.947918580378512,4824,45.458955223880594,47.193426667923525
