feature,importance,importance_pct
lag_1h,0.23688369495440997,23.688369495441
rolling_3h_mean,0.16247189562086276,16.247189562086277
lag_24h,0.15372215146177165,15.372215146177165
lag_2h,0.10137810746123224,10.137810746123224
lag_168h,0.095451031915005,9.5451031915005
rolling_24h_mean,0.05327916917944437,5.327916917944437
rolling_24h_std,0.049140984563015806,4.914098456301581
zone_avg_demand,0.030724229259750845,3.0724229259750846
hour,0.028988335285426655,2.8988335285426654
rolling_3h_std,0.0229367988025664,2.29367988025664
zone_demand_std,0.020525253108790064,2.0525253108790062
avg_distance,0.01166907241250157,1.166907241250157
avg_fare,0.007358196459066661,0.7358196459066662
zone_avg_distance,0.005345262675658729,0.534526267565873
zone_avg_fare,0.0051552739672270954,0.5155273967227095
day_of_week,0.003652372239377747,0.3652372239377747
day_of_month,0.0031338461005701555,0.31338461005701557
is_rush_hour,0.0027148516217901943,0.2714851621790194
is_morning_rush,0.002344341099209135,0.2344341099209135
is_evening_rush,0.0020768445175129795,0.20768445175129796
is_weekend,0.0010482872948098564,0.10482872948098564
