n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_rmse,val_rmse,train_r2,val_r2,train_mae,val_mae,train_time_seconds
50,10,10,1,sqrt,15.575370375274078,18.590824209781815,0.959996668320349,0.9435810693431546,8.943256357109394,9.38266425628375,0.920687198638916
100,15,5,1,sqrt,10.10166671385678,17.37611829067029,0.9831730474984101,0.950712919833586,5.820465460020739,8.721029765444998,2.2587924003601074
100,20,5,1,sqrt,8.65539288996677,17.402898805212963,0.9876464160673024,0.950560877760383,4.6889617183165475,8.726310676028671,1.5806961059570312
100,None,10,1,sqrt,10.866537357637803,17.74894912892285,0.9805283949379675,0.9485751716029839,5.857309309255185,8.85912317395744,1.371591567993164
200,20,5,1,sqrt,8.543622631757197,17.408929293354692,0.9879634087521058,0.9505266083320382,4.6420564905432,8.681871669063465,2.989574432373047
200,25,2,1,sqrt,6.525493260989209,17.174717276143525,0.9929782382686246,0.9518488398969993,3.523275908259733,8.585190064652847,3.6139440536499023
150,20,5,1,log2,8.598865346921137,17.446583875309248,0.9878072493034513,0.9503123602842628,4.664289273017417,8.684604499772053,2.4036991596221924
150,20,5,1,0.5,8.06765451404536,17.21347249077447,0.98926717665343,0.9516312859219654,4.306108740810018,8.60139730155476,4.98928689956665
100,30,2,1,sqrt,6.587631483251861,17.34768484626401,0.9928438738076131,0.9508740898759925,3.5288008133726,8.64234401686309,2.0402984619140625
200,15,20,1,sqrt,13.90010911047848,18.28428713133256,0.9681392631108906,0.9454262713404605,7.664071931885804,9.063531168195388,2.295273542404175
