split,rmse,r2,mae,n_samples
Train,6.525493260989209,0.9929782382686246,3.523275908259733,25353
Validation,17.174717276143525,0.9518488398969993,8.585190064652847,6494
Test,16.322753334831763,0.953406871449722,8.259297792500078,6662
Train_peak,6.9997311851841095,0.9931967042398521,4.01320722122225,6820
Val_peak,13.969271173343008,0.970317967109575,8.006128266067165,1690
Test_peak,16.098086842399322,0.9630809840824542,8.820547308792325,1838
Test_low_demand,1.4461532084132913,0.2038572275997096,0.9725636722302483,2250
Test_medium_demand,9.33919840735999,0.9025684886098889,6.26015379952519,2264
Test_high_demand,27.059479697248822,0.9214883583553625,17.99915522765011,2148
