split,n_samples,rmse,mae,r2,mean_actual,std_actual,mean_predicted,std_predicted,acc_within_5,acc_within_10,acc_within_15,acc_within_10pct,acc_within_20pct,acc_within_30pct,mape
Training,25353,18.351572102182487,10.820871312114146,0.9444651061296832,57.35419871415611,77.87514465222353,57.35419871415518,75.6654806662442,44.49177612116909,67.76712815051474,78.75991006981423,23.859109375616296,42.515678617915036,54.73119551926794,61.4656698996555
Test,6662,17.384928048995455,10.177533772059308,0.947145638300848,49.303212248574,75.62494621025958,49.56269087153726,73.7437289430101,47.283098168718105,70.20414290003002,80.26118282797958,20.11407985589913,36.5355749024317,47.74842389672771,82.33451558735327
