demand_range,rmse,mae,mape,n_samples,mean_actual,mean_predicted
0-10,6.020607515773296,4.391142909259244,144.84061033332048,3221,2.8609127600124187,3.9181810844961937
10-25,11.459131376375819,7.618080635700402,44.11961327109645,714,17.18767507002801,20.22716529618939
25-50,13.436002985832598,9.573735373626981,25.761521207234868,685,36.505109489051094,38.22714356674564
50-100,18.58333969578733,13.635388509585155,18.75979480648666,850,73.9964705882353,76.9076132545388
100-200,26.718007948848463,20.617844266434005,14.749514891814252,835,140.8874251497006,139.40506401404326
200+,47.032907777344604,36.009972488209364,12.804539318276802,357,284.109243697479,266.5649754348316
