zone_id,total_pickups,rmse,mae,r2,n_samples
161,18932,40.016454893552634,28.839608604861837,0.9482522983667672,85
237,18002,33.28704974861334,24.972590691953748,0.9461459130981453,87
236,17326,35.374891363749086,25.7478078043239,0.9388159059675649,85
132,15365,42.96845123022005,34.475794943224976,0.8330399517344433,87
162,13825,29.820734892287263,22.93437400097996,0.9301565886143273,87
186,12436,42.60482914000758,31.312833655177897,0.6707317582372418,87
230,12055,33.96595506974127,21.979937425423746,0.8822174431987256,87
138,11578,47.67488044532343,38.24191195831293,0.6360930191663833,81
163,11201,27.785050263728635,20.104316563531924,0.9041615401573276,87
142,11194,38.020493894637475,24.22872788459845,0.7990717996286502,85
170,9900,17.76603263403333,14.28961317913683,0.9457192178461733,86
239,9472,21.291703660123876,16.77086555272345,0.9054916039149563,85
234,9092,20.25088334659524,15.032298690502472,0.9312574559241332,86
68,8989,23.93267170271001,18.070053804884427,0.8520630412847355,87
141,8600,18.193485511461333,14.458495300327979,0.9029158059874944,86
