demand_level,rmse,mae,r2,n_samples,mean_actual,mean_predicted,std_actual,std_predicted
Low Demand,5.191970384471648,3.9551458178516663,-9.261875917122557,2250,2.085777777777778,2.397659439515135,1.621120726369845,5.262892286322683
Medium Demand,10.760208990122491,7.518636331655788,0.8706633378548319,2264,30.742049469964666,31.219605089978106,29.926492333541436,29.200649874580247
High Demand,28.055474007427037,19.49788605420119,0.9156023417985439,2148,118.32635009310987,118.30108329774754,96.59475132964675,92.35154659659231
