period,rmse,mae,r2,n_samples,mean_actual,mean_predicted
Peak Hours,17.594560099170153,11.430884740157559,0.9558979872376415,1838,59.39281828073994,59.34368783788358
Off-Peak Hours,17.304387681551553,9.69999250353431,0.9420693898912311,4824,45.458955223880594,45.83601748344759
