split,rmse,r2,mae,n_samples
Train,95.95089483037664,-0.5181597471237183,57.330501556396484,25353
Validation,93.78195288806903,-0.43570804595947266,53.03620529174805,6494
Test,89.56122971011229,-0.40273332595825195,49.383819580078125,6662
Train_peak,108.4828210406491,-0.6340997219085693,68.83153533935547,6820
Validation_peak,99.04908722288914,-0.4922689199447632,58.26914596557617,1690
Test_peak,101.8666407613405,-0.478310227394104,59.351043701171875,1838
Test_low_demand,3.1767657678869803,-2.8417820930480957,2.737010955810547,2250
Test_medium_demand,42.89976280164612,-1.0558433532714844,31.06513214111328,2264
Test_high_demand,151.41785623730115,-1.4583818912506104,117.55365753173828,2148
