split,rmse,r2,mae,n_samples
Train,17.068750822443683,0.9519578218460083,9.356172561645508,25353
Validation,17.64164045737651,0.9491950869560242,9.213764190673828,6494
Test,16.340763088977152,0.9533039927482605,9.052517890930176,6662
Train_peak,18.65207746864902,0.9516928791999817,11.01449966430664,6820
Val_peak,15.458548462939678,0.9636517763137817,9.158407211303711,1690
Test_peak,16.614614354725482,0.9606738090515137,10.068867683410645,1838
Test_low_demand,3.199927096728524,-2.898005962371826,2.2237281799316406,2250
Test_medium_demand,10.620585523078628,0.8739981055259705,7.448328495025635,2264
Test_high_demand,26.430047754712934,0.9250984191894531,17.896400451660156,2148
