split,n_samples,rmse,mae,r2,mean_actual,std_actual,mean_predicted,std_predicted,acc_within_5,acc_within_10,acc_within_15,acc_within_10pct,acc_within_20pct,acc_within_30pct,mape
Training,25353,7022.737073250002,4280.15283203125,-8131.6533203125,57.35419871415611,77.87514465222353,4337.507,5642.6064,0.011832919181161992,1.3095097227152606,4.713446140496194,0.0,0.0039443063937206636,0.0039443063937206636,7916.959813627085
Test,6662,6648.4683950516,3737.67529296875,-7728.9775390625,49.303212248574,75.62494621025958,3786.9783,5571.312,0.0,2.3866706694686277,9.246472530771541,0.0,0.0,0.0,7130.526249481693
