day_of_week,day_name,rmse,mae,r2,n_samples,mean_actual,mean_predicted
0,Monday,5834.654060010756,3289.18896484375,-7390.3798828125,1812,43.10816777041943,3332.297
1,Tuesday,6873.014767916624,3759.418212890625,-6979.25439453125,1809,51.81647318960752,3811.2346
2,Wednesday,7139.529956516745,3839.83154296875,-8125.64892578125,1871,50.455371459112776,3890.287
6,Sunday,6664.354132247176,4235.2734375,-9162.52734375,1170,53.16923076923077,4288.443
