demand_range,rmse,mae,mape,n_samples,mean_actual,mean_predicted
0-10,4.123136388402422,2.8074746131896973,85.0451781048903,3221,2.8609127600124187,5.2047396
10-25,10.31512824581154,7.383802890777588,42.24355397400023,714,17.18767507002801,22.226505
25-50,13.67428550178674,10.11346435546875,27.3868492642862,685,36.505109489051094,42.313736
50-100,18.428582158724513,13.760435104370117,18.98111711490963,850,73.9964705882353,81.08019
100-200,24.742768435317622,18.517953872680664,13.194231891960175,835,140.8874251497006,141.88464
200+,44.91557564528006,33.351200103759766,11.824345797024458,357,284.109243697479,267.4073
