zone_id,total_pickups,rmse,mae,r2,n_samples
161,18932,37.764519532848226,25.968454360961914,0.9539126753807068,85
237,18002,31.16218227281116,22.277292251586914,0.9528020024299622,87
236,17326,33.17533579744804,23.075191497802734,0.9461880326271057,85
132,15365,39.95084565261886,30.648578643798828,0.8556671738624573,87
162,13825,26.3461200557537,19.30576515197754,0.9454842209815979,87
186,12436,40.67710450676999,28.224807739257812,0.6998541951179504,87
230,12055,34.896747111792166,22.72637367248535,0.8756736516952515,87
138,11578,42.84286389036248,34.124542236328125,0.7061212658882141,81
163,11201,25.81048531786549,17.965669631958008,0.917299211025238,87
142,11194,39.96985711181693,26.180980682373047,0.7779398560523987,85
170,9900,16.104674311142364,12.339873313903809,0.9553964734077454,86
239,9472,20.090793516704593,15.365595817565918,0.9158520102500916,85
234,9092,20.609971738422974,15.128724098205566,0.9287979602813721,86
68,8989,22.774169156342868,16.98951530456543,0.8660386800765991,87
141,8600,16.942490183937323,13.471118927001953,0.9158079624176025,86
