period,rmse,mae,r2,n_samples,mean_actual,mean_predicted
Peak Hours,7274.177616748164,4159.96240234375,-7537.23046875,1838,59.39281828073994,4219.355
Off-Peak Hours,6393.97716605244,3576.779052734375,-7908.29541015625,4824,45.458955223880594,3622.238
