n_estimators,max_depth,learning_rate,val_rmse,val_r2
100,3,0.1,19.453210498055086,0.9382253885269165
100,5,0.1,17.86723532459712,0.9478874802589417
100,7,0.1,17.380882090845084,0.9506858587265015
200,5,0.1,17.41538381034764,0.9504899382591248
200,5,0.05,17.444360839470622,0.9503250122070312
300,5,0.05,17.16649728833435,0.9518949389457703
200,7,0.05,17.021210845657947,0.9527057409286499
