split,rmse,r2,mae,n_samples
Train,10.653669744088807,0.9812837839126587,6.648907661437988,25353
Validation,17.021210845657947,0.9527057409286499,8.469257354736328,6494
Test,15.496785968910164,0.9580029845237732,7.9623308181762695,6662
Train_peak,11.48965320352641,0.9816696643829346,7.5804009437561035,6820
Val_peak,13.532486997802847,0.972145140171051,7.896517276763916,1690
Test_peak,14.93729109997102,0.9682133197784424,8.45007038116455,1838
Test_low_demand,1.6370568847979385,-0.020210742950439453,1.0994818210601807,2250
Test_medium_demand,9.515081781626218,0.8988640904426575,6.3340983390808105,2264
Test_high_demand,25.42814535454513,0.9306694865226746,16.867233276367188,2148
