demand_level,rmse,mae,r2,n_samples,mean_actual,mean_predicted,std_actual,std_predicted
Low Demand,128.10787995377177,62.31154251098633,-6246.61181640625,2250,2.085777777777778,64.397316,1.621120726369845,112.51618
Medium Demand,3229.3579857302907,2442.279052734375,-11648.6435546875,2264,30.742049469964666,2473.0212,29.926492333541436,2139.9949
High Demand,11228.683270980619,8952.919921875,-13518.2578125,2148,118.32635009310987,9071.246,96.59475132964675,6868.023
