demand_range,rmse,mae,mape,n_samples,mean_actual,mean_predicted
0-10,553.1263135577623,273.8911437988281,6112.387974922308,3221,2.8609127600124187,276.75204
10-25,2074.5180163112586,1768.8692626953125,9813.431282277324,714,17.18767507002801,1786.0568
25-50,3326.9320702412906,3033.6123046875,8108.814162732877,685,36.505109489051094,3070.1174
50-100,6150.98138511246,5848.03662109375,7838.6202646844895,850,73.9964705882353,5922.0327
100-200,10762.967992147891,10361.8037109375,7319.237484849327,835,140.8874251497006,10502.692
200+,20765.96446110799,19759.814453125,6946.34746491108,357,284.109243697479,20043.924
